title,description,artist,culture,country,teaserText,url,image,regularImage,largeImage,period,date,medium,general medium,accessionNumber,galleryInformation
"Child carrying a dog over his shoulder, walking towards the right, another dog running alongside to right, a woman with two children to right in the background","Stefano della Bella (Italian, Florence 1610-1664 Florence)",Stefano della Bella,,unknown,"Stefano della Bella (Italian, Florence 1610-1664 Florence) Date: ca. 1660-64<br/>Accession Number: 2012.136.441",/art/collection/search/410794?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=81,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP833228.jpg,dp/web-additional/DP833228.jpg,dp/web-large/DP833228.jpg,ca. 1660-64,17th century,Etching,Etching,2.012.136.441,Not on view
"[Child in tree with dog below], Sunny South Cigarettes from Allen &amp; Ginter Advertising Cards (H231)","Allen &amp; Ginter (American, Richmond, Virginia)",Allen & Ginter,,unknown,"Allen &amp; Ginter (American, Richmond, Virginia) Date: 1880s<br/>Accession Number: Burdick 5, H231.4",/art/collection/search/854206?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=82,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1880s,19th century,Commercial color lithograph,Commercial color lithograph,"Burdick 5, H231.4",Not on view
A child making a tortilla watched by a dog,"Jean Charlot (French, Paris 1898-1979 Honolulu, Hawaii)",Jean Charlot,,unknown,"Jean Charlot (French, Paris 1898-1979 Honolulu, Hawaii) Date: 1947<br/>Accession Number: 60.713.70",/art/collection/search/716165?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=83,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1947,20th century,Lithograph on stone,Lithograph on stone,60.713.70,Not on view
"Child teaching a dog to sit, the child seated to left against a wall, teaching the dog to sit on its hind legs, another child embracing a dog to right in the background","Stefano della Bella (Italian, Florence 1610-1664 Florence)",Stefano della Bella,,unknown,"Stefano della Bella (Italian, Florence 1610-1664 Florence) Date: ca. 1660-64<br/>Accession Number: 2012.136.440",/art/collection/search/410793?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=84,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP833215.jpg,dp/web-additional/DP833215.jpg,dp/web-large/DP833215.jpg,ca. 1660-64,17th century,Etching; first state of two,Etching,2.012.136.440,Not on view
"[Child, Possibly Mabry Girl, Holding Dog in Snow]","Walker Evans (American, St. Louis, Missouri 1903-1975 New Haven, Connecticut)",Walker Evans,,unknown,"Walker Evans (American, St. Louis, Missouri 1903-1975 New Haven, Connecticut) Date: 1930s<br/>Accession Number: 1994.251.847",/art/collection/search/272237?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=85,https://images.metmuseum.org/CRDImages/ph/mobile-large/PH3079.jpg,ph/web-additional/PH3079.jpg,ph/web-large/PH3079.jpg,1930s,20th centurys,Film negative,Film negative,1.994.251.847,Not on view
Children Playing with a Dog,"Jean Jacques de Boissieu (French, Lyons 1736-1810 Lyons)",Jean Jacques de Boissieu,,unknown,"Jean Jacques de Boissieu (French, Lyons 1736-1810 Lyons) Date: 1789<br/>Accession Number: 2000.361.14",/art/collection/search/342441?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=86,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP874430.jpg,dp/web-additional/DP874430.jpg,dp/web-large/DP874430.jpg,1789,18th century,Etching with drypoint and roulette; fifth state of six (Perez),Etching with drypoint and roulette,2000.361.14,Not on view
Children seated playing with dog trade card (W500),,,,unknown,Date: ca. 1900-20<br/>Accession Number: 63.350.536.500.619,/art/collection/search/813904?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=87,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882262.jpg,dp/web-additional/DPB882262.jpg,dp/web-large/DPB882262.jpg,ca. 1900-20,20th century,Commercial photolithograph,Commercial photolithograph,63.350.536.500.619,Not on view
[Children with dog cart] from Allen &amp; Ginter Advertising Cards (H230),"Allen &amp; Ginter (American, Richmond, Virginia)",Allen & Ginter,,unknown,"Allen &amp; Ginter (American, Richmond, Virginia) Date: 1880s<br/>Accession Number: Burdick 5, H230.7",/art/collection/search/854011?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=88,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1880s,19th century,Commercial color lithograph,Commercial color lithograph,"Burdick 5, H230.7",Not on view
Cho Chow from Our Friend - the Dog Educational Pictures (W608-4),,,,unknown,Date: ca. 1950-55<br/>Accession Number: 63.350.536.608.4.20,/art/collection/search/814557?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=89,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882438.jpg,dp/web-additional/DPB882438.jpg,dp/web-large/DPB882438.jpg,ca. 1950-55,20th century,Commercial color photolithograph,Commercial color photolithograph,63.350.536.608.4.20,Not on view
"Christ at Emmaus, Christ breaking bread at a table with four men, a dog at left and a raven at right","Pietro Monaco (Italian, Belluno 1707-1772 Venice)",Pietro Monaco,,unknown,"Pietro Monaco (Italian, Belluno 1707-1772 Venice) Date: ca. 1730-72<br/>Accession Number: 1988.1157.7",/art/collection/search/760242?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=90,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1730-72,18th century,Etching and engraving,Etching and engraving,1988.1157.7,Not on view
Classical Female Figure; Satyr and Dog (from Sketchbook),"John Quincy Adams Ward (American, Urbana, Ohio 1830-1910 New York)",John Quincy Adams Ward,American,America,"John Quincy Adams Ward (American, Urbana, Ohio 1830-1910 New York) Date: ca. 1860<br/>Accession Number: 1985.351.9 recto",/art/collection/search/16699?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=91,https://images.metmuseum.org/CRDImages/ad/mobile-large/266090.jpg,ad/web-additional/266090.jpg,ad/web-large/266090.jpg,ca. 1860,19th century,Pen and brown (possibly iron-gall) ink on smooth off-white wove paper,Pen and brown ,1985.351.9 recto,Not on view
Clown and Dog Laughing,"Arthur George Murphy (American, Tiffin, Ohio 1906-1991 Old Saybrook, Connecticut)",Arthur George Murphy,,unknown,"Arthur George Murphy (American, Tiffin, Ohio 1906-1991 Old Saybrook, Connecticut) Date: 1935-43<br/>Accession Number: 43.47.247",/art/collection/search/375436?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=92,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1935-43,20th century,Lithograph,Lithograph,43.47.247,Not on view
Cock and dog,"Totoya Hokkei (Japanese, 1780-1850) (?)",Totoya Hokkei,Japan,Japan,"Totoya Hokkei (Japanese, 1780-1850) (?)Date: probably 1814<br/>Accession Number: JP1917",/art/collection/search/54456?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=93,https://images.metmuseum.org/CRDImages/as/mobile-large/DP135725.jpg,as/web-additional/DP135725.jpg,as/web-large/DP135725.jpg,probably 1814,19th century,Woodblock print (surimono); ink and color on paper,Woodblock print ,JP1917,Not on view
"Cocker Spaniel from Cowan""s Dog Pictures (V13)","Cowan Company, Limited (Canadian, 1893-1926)","Cowan Company, Limited",,unknown,"Cowan Company, Limited (Canadian, 1893-1926) Date: ca. 1929<br/>Accession Number: Burdick 335, V13.20",/art/collection/search/840161?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=94,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1929,20th century,Commercial color photolithograph,Commercial color photolithograph,"Burdick 335, V13.20",Not on view
Cocker Spaniel from Our Friend - the Dog Educational Pictures (W608-4),,,,unknown,Date: ca. 1950-55<br/>Accession Number: 63.350.536.608.4.8,/art/collection/search/814543?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=95,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882426.jpg,dp/web-additional/DPB882426.jpg,dp/web-large/DPB882426.jpg,ca. 1950-55,20th century,Commercial color photolithograph,Commercial color photolithograph,63.350.536.608.4.8,Not on view
Collar for a Hunting Dog,,,Spanish,Spain,Date: 16th century<br/>Accession Number: 14.25.1837,/art/collection/search/33555?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=96,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,16th century,16th century,Iron,Iron,14.25.1837,Not on view
Collar for a Hunting Dog,,,"German, Saxony",Germany,Date: 1607-11<br/>Accession Number: 29.150.154,/art/collection/search/23194?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=97,https://images.metmuseum.org/CRDImages/aa/mobile-large/sfsb29.150.154_003l.jpg,aa/web-additional/sfsb29.150.154_003l.jpg,aa/web-large/sfsb29.150.154_003l.jpg,1607-11,17th century,"Silk, leather, silver, bronze, gold, pigments",Silk,29.150.154,Not on view
Collar for Hunting Dog,,,German or Austrian,Germany or Austrian,Date: 17th century<br/>Accession Number: 42.50.535,/art/collection/search/29370?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=98,https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-spjj-42_50_535-001.jpg,aa/web-additional/LC-spjj-42_50_535-001.jpg,aa/web-large/LC-spjj-42_50_535-001.jpg,17th century,17th century,Iron,Iron,42.50.535,Not on view
"Collie from Cowan""s Dog Pictures (V13)","Cowan Company, Limited (Canadian, 1893-1926)","Cowan Company, Limited",,unknown,"Cowan Company, Limited (Canadian, 1893-1926) Date: ca. 1929<br/>Accession Number: Burdick 335, V13.8",/art/collection/search/840147?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=99,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1929,20th century,Commercial color photolithograph,Commercial color photolithograph,"Burdick 335, V13.8",Not on view
Collie from Our Friend - the Dog Educational Pictures (W608-4),,,,unknown,Date: ca. 1950-55<br/>Accession Number: 63.350.536.608.4.15,/art/collection/search/814551?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=100,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882433.jpg,dp/web-additional/DPB882433.jpg,dp/web-large/DPB882433.jpg,ca. 1950-55,20th century,Commercial color photolithograph,Commercial color photolithograph,63.350.536.608.4.15,Not on view
Column and Capital with Dog Mask,,,North Italian,Italy,Date: 14th century<br/>Accession Number: 21.123.3,/art/collection/search/466329?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=101,https://images.metmuseum.org/CRDImages/md/mobile-large/DP169528.jpg,md/web-additional/DP169528.jpg,md/web-large/DP169528.jpg,14th century,14th century,Red limestone,Red limestone,21.123.3,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzcxNDMzLDQwLjc3OTU0ODk3QGxtQDM3MDA2MzAxOTA0MA==' target='_blank'>Gallery 305</a>
Combat Between Dragon and Dog (one of five medallions from a coffret),,,French,France,Date: ca. 1110-30<br/>Accession Number: 17.190.693,/art/collection/search/464566?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=102,https://images.metmuseum.org/CRDImages/md/mobile-large/sf17-190-693s1.jpg,md/web-additional/sf17-190-693s1.jpg,md/web-large/sf17-190-693s1.jpg,ca. 1110-30,12th century,"Copper-gilt, champlevé enamel",Copper-gilt,17.190.693,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzQ0Mjc1LDQwLjc3OTQ0OTgyQGxtQDMxODg3MjE5NjI5Ng==' target='_blank'>Gallery 304</a>
Combat Between Dragon and Dog (one of five medallions from a coffret),,,French,France,Date: ca. 1110-30<br/>Accession Number: 17.190.691,/art/collection/search/464564?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=103,https://images.metmuseum.org/CRDImages/md/mobile-large/sf17-190-691s1.jpg,md/web-additional/sf17-190-691s1.jpg,md/web-large/sf17-190-691s1.jpg,ca. 1110-30,12th century,"Copper-gilt, champlevé enamel",Copper-gilt,17.190.691,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzQ0Mjc1LDQwLjc3OTQ0OTgyQGxtQDMxODg3MjE5NjI5Ng==' target='_blank'>Gallery 304</a>
"Constantine Presenting the City of Rome to the Holy See, at right, many spectators throughout, a child playing with a dog in the foreground","Battista Franco (Italian, Venice ca. 1510-1561 Venice)",Battista Franco,,unknown,"Battista Franco (Italian, Venice ca. 1510-1561 Venice) Date: ca. 1530-61<br/>Accession Number: 49.95.6",/art/collection/search/371917?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=104,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP819638.jpg,dp/web-additional/DP819638.jpg,dp/web-large/DP819638.jpg,ca. 1530-61,16th century,Etching and engraving,Etching and engraving,49.95.6,Not on view
The Cook and Her Dog (La CuisiniÃ¨re et son chien),"Henry-Bonaventure Monnier (French, Paris 1799-1877 Paris)",Henry-Bonaventure Monnier,,unknown,"Henry-Bonaventure Monnier (French, Paris 1799-1877 Paris) Date: 1865<br/>Accession Number: 59.23.25",/art/collection/search/337808?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=105,https://images.metmuseum.org/CRDImages/dp/mobile-large/59.23.25.jpg,dp/web-additional/59.23.25.jpg,dp/web-large/59.23.25.jpg,1865,19th century,"Pen and brown and black ink, and watercolor over traces of black chalk on paper",Pen and brown and black ink,59.23.25,Not on view
"Copper Plate Engraving of a Woman Riding a Horse, a Goat and a Dog","Utagawa Hiroshige II (Japanese, 1826-1869)",Utagawa Hiroshige II,Japan,Japan,"Utagawa Hiroshige II (Japanese, 1826-1869) Date: 3rd month, 1860<br/>Accession Number: 2007.49.139",/art/collection/search/73425?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=106,https://images.metmuseum.org/CRDImages/as/mobile-large/DP147995.jpg,as/web-additional/DP147995.jpg,as/web-large/DP147995.jpg,"3rd month, 1860",19th century,Woodblock print; ink and color on paper,Woodblock print,2007.49.139,Not on view
Cosmetic dish in the shape of a dog,,,,unknown,Date: ca. 1550-1295 B.C.<br/>Accession Number: 10.130.2520,/art/collection/search/545210?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=107,https://images.metmuseum.org/CRDImages/eg/mobile-large/DP116078.jpg,eg/web-additional/DP116078.jpg,eg/web-large/DP116078.jpg,ca. 1550-1295 B.C.,16th century,Bone,Bone,101.302.520,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MTk2OTE4LDQwLjc4MDIzNDA2QGxtQDgxMTYyNDM2NTY0OA==' target='_blank'>Gallery 117</a>
Couple with dog,"Capodimonte Porcelain Manufactory (Italian, 1740/43-1759)",Capodimonte Porcelain Manufactory,"Italian, Naples",Italy,"Capodimonte Porcelain Manufactory (Italian, 1740/43-1759) Date: ca. 1750<br/>Accession Number: 1974.28.142",/art/collection/search/205645?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=108,https://images.metmuseum.org/CRDImages/es/mobile-large/208719.jpg,es/web-additional/208719.jpg,es/web-large/208719.jpg,ca. 1750,18th century,Soft-paste porcelain,Soft-paste porcelain,1974.28.142,Not on view
Courtesan and Attendant Playing with a Dog,"Nishikawa Sukenobu (Japanese, 1671-1750)",Nishikawa Sukenobu,Japan,Japan,"Nishikawa Sukenobu (Japanese, 1671-1750) Date: ca. 1716-1736<br/>Accession Number: 2015.500.9.49",/art/collection/search/667348?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=109,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-12232-320.jpg,as/web-additional/DP-12232-320.jpg,as/web-large/DP-12232-320.jpg,ca. 1716-1736,18th century,Hanging scroll; ink and color on silk,Hanging scroll,2015.500.9.49,Not on view
"Covered Goblet, Pear shaped bidy on shaft og twisted tree-trunk with bear treed by dog","Jonas Silber (German, 1572-1590)",Jonas Silber,,unknown,"Jonas Silber (German, 1572-1590) Date: n.d.<br/>Accession Number: 34.61.5",/art/collection/search/786770?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=110,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP880177.jpg,dp/web-additional/DP880177.jpg,dp/web-large/DP880177.jpg,n.d.,unknown,"Metalcut, dotted print",Metalcut,34.61.5,Not on view
"Craftsman Catalog of Dog Goods, No. 1-25","Craftsman Leather Speciality Co., Dayton, Ohio (American, early 20th century)","Craftsman Leather Speciality Co., Dayton, Ohio",,,"Craftsman Leather Speciality Co., Dayton, Ohio (American, early 20th century) Date: December 1, 1925<br/>Accession Number: 1976.622.1",/art/collection/search/858251?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=111,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,"December 1, 1925",20th century,Illustrations: commercial photographic process,Illustrations,1976.622.1,Not on view
"Craftsman Wholesale Net Price List of Dog Goods, Applying to Catalogue No. 1-25","Craftsman Leather Speciality Co., Dayton, Ohio (American, early 20th century)","Craftsman Leather Speciality Co., Dayton, Ohio",,,"Craftsman Leather Speciality Co., Dayton, Ohio (American, early 20th century) Date: December 1, 1925<br/>Accession Number: 1976.622.2",/art/collection/search/858252?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=112,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,"December 1, 1925",20th century,Printed text only,Printed text only,1976.622.2,Not on view
Cupid with a Dog,"Luigi Saulini (Italian, 1819-1883)",Luigi Saulini,"Italian, Rome",Italy,"Luigi Saulini (Italian, 1819-1883) Date: 1860-70<br/>Accession Number: 93.6.2",/art/collection/search/187492?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=113,https://images.metmuseum.org/CRDImages/es/mobile-large/DP157999.jpg,es/web-additional/DP157999.jpg,es/web-large/DP157999.jpg,1860-70,19th century,"Shell, gold",Shell,93.6.2,Not on view
Cupid with dog,"Chelsea Porcelain Manufactory (British, 1745-1784, Gold Anchor Period, 1759-69)",Chelsea Porcelain Manufactory,"British, Chelsea",Great Britain,"Chelsea Porcelain Manufactory (British, 1745-1784, Gold Anchor Period, 1759-69) Date: ca. 1765<br/>Accession Number: 64.101.576a, b",/art/collection/search/203433?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=114,https://images.metmuseum.org/CRDImages/es/mobile-large/DP-470-043.jpg,es/web-additional/DP-470-043.jpg,es/web-large/DP-470-043.jpg,ca. 1765,18th century,Soft-paste porcelain,Soft-paste porcelain,"64.101.576a, b",Not on view
"Cylinder seal and modern impression: male worshiper, dog surmounted by a standard",,,Kassite,Irak,Date: ca. mid-2nd millennium BCE<br/>Accession Number: 1985.357.44,/art/collection/search/327226?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=115,https://images.metmuseum.org/CRDImages/an/mobile-large/ss1985_357_44.jpg,an/web-additional/ss1985_357_44.jpg,an/web-large/ss1985_357_44.jpg,ca. mid-2nd millennium BCE,2000-1000 BCE,Carnelian,Carnelian,1985.357.44,Not on view
Dachshund from Our Friend - the Dog Educational Pictures (W608-4),,,,unknown,Date: ca. 1950-55<br/>Accession Number: 63.350.536.608.4.21,/art/collection/search/814561?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=116,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882439.jpg,dp/web-additional/DPB882439.jpg,dp/web-large/DPB882439.jpg,ca. 1950-55,20th century,Commercial color photolithograph,Commercial color photolithograph,63.350.536.608.4.21,Not on view
"Dalmatian from Cowan""s Dog Pictures (V13)","Cowan Company, Limited (Canadian, 1893-1926)","Cowan Company, Limited",,unknown,"Cowan Company, Limited (Canadian, 1893-1926) Date: ca. 1929<br/>Accession Number: Burdick 335, V13.11",/art/collection/search/840150?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=117,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1929,20th century,Commercial color photolithograph,Commercial color photolithograph,"Burdick 335, V13.11",Not on view
Dalmatian from Our Friend - the Dog Educational Pictures (W608-4),,,,unknown,Date: ca. 1950-55<br/>Accession Number: 63.350.536.608.4.12,/art/collection/search/814548?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=118,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882430.jpg,dp/web-additional/DPB882430.jpg,dp/web-large/DPB882430.jpg,ca. 1950-55,20th century,Commercial color photolithograph,Commercial color photolithograph,63.350.536.608.4.12,Not on view
Dancing Figure with Dog,"Accession Number: 29.110.21a, b",,China,China,"Accession Number: 29.110.21a, b",/art/collection/search/40683?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=119,https://images.metmuseum.org/CRDImages/as/mobile-large/29_110_21ab.JPG,as/web-additional/29_110_21ab.JPG,as/web-large/29_110_21ab.JPG,,unknown,Cloisonné enamel on copper,Cloisonné enamel on copper,"29.110.21a, b",Not on view
"Daoist Priest with Zodiac Animal, Dog",Accession Number: 1994.605.58,,China,China,Accession Number: 1994.605.58,/art/collection/search/44359?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=120,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-18672-001.jpg,as/web-additional/DP-18672-001.jpg,as/web-large/DP-18672-001.jpg,,unknown,Stoneware,Stoneware,1994.605.58,Not on view
The day of the dog,"Margaret Neilson Armstrong (American, New York 1867-1944 New York)",Margaret Neilson Armstrong,,unknown,"Margaret Neilson Armstrong (American, New York 1867-1944 New York) Date: 1904<br/>Accession Number: Publishers Bindings 83",/art/collection/search/888554?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=121,https://images.metmuseum.org/CRDImages/li/mobile-large/b1805159_001.jpg,li/web-additional/b1805159_001.jpg,li/web-large/b1805159_001.jpg,1904,20th century,,,Publishers Bindings 83,Not on view
The Day of the Dog,"George Barr McCutcheon (American, 1866-1928)",George Barr McCutcheon,,unknown,"George Barr McCutcheon (American, 1866-1928) Date: 1904<br/>Accession Number: 66.643.1",/art/collection/search/353814?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=122,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1904,20th century,Illustrations: photomechanical color process prints and lithographs,Illustrations,66.643.1,Not on view
De Brack Dog Wins!,"Currier &amp; Ives (American, active New York, 1857-1907)",Currier & Ives,,unknown,"Currier &amp; Ives (American, active New York, 1857-1907) Date: 1889<br/>Accession Number: 52.632.51",/art/collection/search/397423?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=123,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1889,19th century,Hand-colored lithograph,Hand-colored lithograph,52.632.51,Not on view
"""Dead Dog on a Beach"" series","Helen Soreff (American, New York 1926-1998 New York)",Helen Soreff,,unknown,"Helen Soreff (American, New York 1926-1998 New York) Date: 1987<br/>Accession Number: 1988.1095(41)",/art/collection/search/366174?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=124,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1987,20th century,Lithograph,Lithograph,1988.1095(41),Not on view
"Dead Tree, Dog Lake, Yosemite National Park","Ansel Easton Adams (American, San Francisco, California 1902-1984 Carmel, California)",Ansel Easton Adams,,unknown,"Ansel Easton Adams (American, San Francisco, California 1902-1984 Carmel, California) Date: ca. 1936<br/>Accession Number: 1971.616.2",/art/collection/search/259954?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=125,https://images.metmuseum.org/CRDImages/ph/mobile-large/DP116830.jpg,ph/web-additional/DP116830.jpg,ph/web-large/DP116830.jpg,ca. 1936,20th century,Gelatin silver print,Gelatin silver print,1971.616.2,Not on view
"Design for a Bracelet with Two Cupids on a Dog and a Goat, Tilting","Abraham van den Hecken (Flemish, active ca. 1599-1634)",Abraham van den Hecken,,unknown,"Abraham van den Hecken (Flemish, active ca. 1599-1634) Date: ca. 1599-1634<br/>Accession Number: 56.500.51",/art/collection/search/786851?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=126,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1599-1634,16th century,Engraving,Engraving,56.500.51,Not on view
Design for a Covered Silver Dish with Aesop Fable and Dog Handle,"Anonymous, Czech, early 20th century",,,unknown,"Anonymous, Czech, early 20th centuryDate: early 20th century<br/>Accession Number: 67.511.69",/art/collection/search/387145?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=127,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP821993.jpg,dp/web-additional/DP821993.jpg,dp/web-large/DP821993.jpg,early 20th century,20th century,Graphite on tracing paper,Graphite on tracing paper,67.511.69,Not on view
Design for a Double Dog Cart No 5430,"T. Peters and Sons (British, active ca. 1830-1890)",T. Peters and Sons,,unknown,"T. Peters and Sons (British, active ca. 1830-1890) Date: ca. 1830-70<br/>Accession Number: 58.638.114",/art/collection/search/838055?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=128,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1830-70,19th century,Pen and black ink with watercolor,Pen and black ink with watercolor,58.638.114,Not on view
"Design for a vase with a barking dog and a putto, from Livre de Vases (Book of Vases), plate 7","Gabriel Huquier (French, Orléans 1695-1772 Paris)",Gabriel Huquier,,unknown,"Gabriel Huquier (French, Orléans 1695-1772 Paris) Date: 1742-50<br/>Accession Number: 33.57.16(7)",/art/collection/search/412712?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&amp;pos=129,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1742-50,18th century,Etching,Etching,33.57.16(7),Not on view
